Name,MarketCap,Watchlist
EchoLink,"$86,161","1,528"
Alliance Fan Token,"$403,320",861
Blockburn,"$86,511","1,461"
Startcoin,"$86,581",936
LUXCoin,"$84,969","1,336"
PluraCoin,"$88,741","1,252"
Unicly Chris McCann Collection,"$88,659",430
Aigang,"$90,152","2,453"
CPUchain,"$86,649","1,073"
Insight Protocol,"$89,453","2,897"
Phoneum,"$90,629","14,818"
SORA Validator Token,"$92,063","3,872"
OtterClam Finance,"$423,171",805
Crypto Sports,"$92,459","1,284"
BSCView,"$90,159","1,796"
Cheesecoin,"$93,105","1,418"
Kurrent,"$94,470",563
Fivebalance,"$86,464","1,064"
EventChain,"$91,554",669
Innovative Bioresearch Coin,"$97,361","7,425"
Block-Logic,"$97,784",456
Ether Zero,"$99,289","1,966"
Italian Lira,"$96,031","1,867"
ChartEx,"$99,117","1,078"
MojoCoin,"$99,312",593
Tokenbox,"$100,380",776
Birdchain,"$100,632","2,541"
Depth Token,"$99,107","1,610"
Bitblocks,"$101,651","1,997"
NestEGG Coin,"$97,394",688
Fantasy Sports,"$99,853",739
ZPER,"$101,458",954
GoldBlocks,"$101,876",536
Lympo Market Token,"$104,286","230,095"
BitWhite,"$102,552","1,050"
LHT,"$102,040",515
Fireball,"$104,292",760
Collective,"$101,592","1,126"
Zilla,"$105,275","1,279"
Wrapped Virgin Gen-0 CryptoKitties,"$106,996",772
4NEW,"$109,016",731
Skyrim Finance,"$109,305","1,520"
Noir,"$110,431",593
Elysian,"$105,965","2,290"
DMScript,"$101,917","8,411"
BiShares,"$111,874","1,671"
ATBCoin,"$113,255",588
YENTEN,"$109,794",880
Privatix,"$83,202",632
Evil Coin,"$112,847","10,889"
PKG Token,"$108,771","1,400"
StrongHands Masternode,"$111,896",817
Anoncoin,"$113,319",838
Base Protocol,"$115,469","2,599"
Maxcoin,"$393,093","1,806"
Lunyr,"$115,537","1,835"
CheesecakeSwap Token,"$117,621","3,481"
Auxilium,"$117,563","1,183"
Gentarium,"$118,345",568
Horde,"$118,884",711
Bigbom,"$118,442","1,489"
ZCore,"$120,196","1,147"
Ormeus Coin,"$121,384","1,569"
MicroMoney,"$118,532","1,616"
SHIELD,"$118,491","1,449"
PengolinCoin,"$121,513","1,414"
HaloDAO,"$118,586","486,139"
LCMS,"$123,268",936
Savix,"$122,665",944
Rate3,"$124,623","1,111"
SkinCoin,"$123,006","1,087"
YVS.Finance,"$115,002","2,762"
BoutsPro,"$124,587",883
ZelaaPayAE,"$85,311","4,197"
Themis,"$124,969",961
Finminity,"$125,974","1,389"
MidasProtocol,"$123,776","2,491"
Tendies,"$112,536","2,043"
Sentinel Chain,"$124,032","1,031"
Wolf Safe Poor People (Polygon),"$172,697","5,304,738"
Taklimakan Network,"$130,076",648
Meridian Network,"$131,663","1,199"
PlayGame,"$132,068","2,018"
Maecenas,"$132,624","1,824"
Connectome,"$128,747",999
Playgroundz,"$132,980",611
Fortuna Sittard Fan Token,"$130,087",508
PoSW Coin,"$135,822",529
PegNet,"$134,060","1,760"
Pancake Bunny,"$133,507","35,424"
Fundamenta,"$136,859",993
Castweet,"$138,055",567
TrezarCoin,"$139,832","1,071"
COVA,"$131,339","2,659"
Golden Goose,"$141,456","1,483"
DINGO TOKEN,"$142,502","6,575"
BidiPass,"$141,900","1,025"
Levante U.D. Fan Token,"$141,398",253
MetaMorph,"$124,925","2,296"
Niobium Coin,"$131,293",770
Decentrahub Coin,"$134,930",604
Axis DeFi,"$142,740","2,131"
Wolves of Wall Street,"$140,364","1,380"
Atmos,"$147,286","1,027"
Shadow Token,"$145,227","1,114"
Solaris,"$147,703","2,167"
Rapidz,"$149,297","1,234"
Qrkita Token,"$150,650","3,193"
Penta,"$149,588","5,599"
Nerva,"$150,051",807
Ignition,"$151,467",907
ZeuxCoin,"$152,087",651
MEET.ONE,"$151,369","2,568"
Rentberry,"$153,842","1,416"
Blocktix,"$153,653",477
GoByte,"$154,735","1,118"
Rigel Protocol,"$152,353","1,194"
MenaPay,"$154,827",941
Cosmo Coin,"$147,666","3,017"
Winco,"$147,651",666
GMB,"$155,316","1,786"
9D NFT,"$234,249","4,562"
Netbox Coin,"$250,186","3,620"
Blockmason Credit Protocol,"$233,547","2,016"
Kobocoin,"$237,011",514
Team Heretics Fan Token,"$233,673",897
GlobalBoost-Y,"$241,247",713
CryptoBonusMiles,"$236,192","4,437"
Chonk,"$239,367","1,736"
NuShares,"$240,789","1,236"
Energo,"$148,399","2,144"
AidCoin,"$240,325",888
BiblePay,"$244,435","3,704"
BarterTrade,"$242,422","1,608"
rASKO,"$246,528",285
Blue Whale EXchange,"$247,582","1,805"
AFEN Blockchain,"$242,935","258,181"
Trinity Network Credit,"$244,470","1,687"
Sessia,"$248,895",525
Alanyaspor Fan Token,"$262,022",418
AiLink Token,"$245,886","1,436"
Yearn Secure,"$236,144",984
Lepasa,"$257,425","3,320,469"
Zero Utility Token,"$253,139","1,017"
CREA,"$253,025",575
Asch,"$255,927","1,515"
Gems ,"$258,723","3,079"
Ink Protocol,"$258,809","2,520"
LunchMoney,"$259,195",971
Triall,"$257,819","2,100"
Swing,"$260,422",476
Moneynet,"$261,061",998
Datamine,"$264,294","1,928"
PiplCoin,"$264,990",903
reflect.finance,"$265,393","2,404"
Alphacat,"$266,151","3,684"
Font,"$267,863","1,863"
DopeCoin,"$268,899","1,310"
RMPL,"$269,919","1,190"
Netko,"$270,402",460
WorkQuest Token,"$272,174","13,995"
Team Vitality Fan Token,"$271,386",572
ExclusiveCoin,"$271,510",862
Cryptonite,"$272,025","1,174"
NFTX Hashmasks Index,"$273,467","1,846"
Phoenix Token,"$273,237",943
DAOventures,"$258,664","2,817"
Orbitcoin,"$272,164",617
EDC Blockchain,"$275,419","1,119"
Etherparty,"$274,585","2,648"
bAlpha,"$281,928","1,925"
HashCoin,"$278,885","3,299"
Tornado,"$275,693","2,113"
DeHive,"$279,714","15,648"
Smartshare,"$278,593","2,030"
GamyFi Platform,"$279,407","10,539"
HOQU,"$280,307","1,678"
DOGEFI,"$280,151","5,586"
Pivot Token,"$281,035","4,174"
ChronoBase,"$281,402",185
Yellow Road,"$281,406","3,725"
MODEL-X-coin,"$282,851",473
HEAT,"$282,198",635
Nsure.Network,"$283,033","5,658"
Peseta Digital,"$277,646",848
DoYourTip,"$283,059",589
MoonTools,"$283,800","1,692"
HeroFi,"$284,688","6,545"
DeFi Bids,"$284,116","1,255"
Blockpass,"$283,428","1,094"
Fire Lotto,"$285,501",651
ShoeFy,"$286,498","10,281"
Jetcoin,"$287,838","2,195"
Bitcoin Confidential,"$284,931","2,837"
PirateCash,"$291,364","1,359"
UGAS,"$289,716","1,312"
Paybswap,"$288,635","2,416"
Ronin Gamez,"$288,477","25,415"
Node Runners,"$294,221","2,055"
Seigniorage Shares,"$291,174","1,203"
WeTrust,"$296,219","1,327"
Zeepin,"$291,835","1,821"
SureRemit,"$296,664","1,142"
Dinamo Zagreb Fan Token,"$297,158",347
EtherGem,"$298,203",984
Big Digital Shares,"$296,920",801
x42 Protocol,"$285,360",612
Bottos,"$299,400","1,875"
SmileyCoin,"$298,654","1,748"
GoldMint,"$298,506",610
Azuki,"$300,837","1,975"
TouchCon,"$300,158","1,128"
Donut,"$305,753","2,281"
Ethereum Yield,"$306,112","2,440"
Datamine FLUX,"$301,154","1,516"
XcelToken Plus,"$306,725","5,059"
CumStar,"$308,286","23,285"
$LONDON,"$302,523","1,101"
Sakura Bloom,"$426,356","2,360"
BlitzPick,"$429,233",819
Xion Finance,"$306,269","170,514"
ArGo,"$427,160","4,407"
Vipstar Coin,"$469,264","2,081"
Moniwar,"$436,328","556,676"
GokuMarket Credit,"$439,212","3,526"
SmartCoin (SMC),"$302,304","1,955"
GeoCoin,"$442,287","1,119"
CryptEx,"$441,159","1,432"
Yield Protocol,"$434,014","3,157"
MarsX,"$439,826","1,789"
Kawaii Islands,"$440,172","4,890"
yAxis,"$440,600","2,675"
KIWIGO,"$442,615","1,853"
IONChain,"$450,259","1,425"
PetroDollar,"$443,326","1,108"
BlueCoin,"$441,150",981
Enigma,"$421,234","6,630"
DecentraWeb,"$449,949","1,945"
Equal,"$452,177","2,404"
AMATEN,"$454,525","3,875"
Beaxy,"$454,521",800
Mrweb Finance,"$484,563","25,284"
Indorse Token,"$456,004",976
Bean Cash,"$459,498","1,801"
Coin Artist,"$444,458","1,581"
Bunicorn,"$460,919","97,950"
Upfiring,"$462,047","1,973"
UniFarm,"$461,395","3,316"
Sether,"$466,414",522
Origo,"$477,760","3,035"
Banca,"$462,598","2,906"
OpenSwap,"$460,444","2,292"
Apollon Limassol,"$478,601",819
NEXT,"$476,689","2,292"
ETHA Lend,"$478,323","2,392"
Stably USD,"$480,739",834
FairCoin,"$482,079",940
EDUCare,"$482,397","2,577"
ContentBox,"$457,788","1,282"
DAPS Coin,"$480,832","5,704"
Limitless VIP,"$484,409",833
Stobox Token,"$485,325","3,387"
DMarket,"$486,289","3,498"
AirNFTs,"$492,122","4,933"
Nyzo,"$497,286","1,906"
Bitgear,"$495,987","2,180"
Keep4r,"$493,706","2,213"
Faceter,"$499,188","1,225"
Transcodium,"$497,223","1,091"
SPINDLE,"$503,431","1,206"
Qwertycoin,"$502,144","2,679"
Pascal,"$491,395","1,087"
2local,"$505,374","2,434"
Wrapped Gen-0 CryptoKitties,"$489,311","1,034"
Patientory,"$508,336","1,387"
Spaceswap SHAKE,"$507,247","3,271"
TigerCash,"$487,693","2,790"
Robust Token,"$503,977","4,386"
OneRoot Network,"$512,635","1,691"
QUINADS,"$513,746","1,447"
Bitgesell,"$519,114",922
MicroBitcoin,"$531,749","4,730"
Universidad de Chile Fan Token,"$522,411","1,270"
Zuki Moba,"$520,672","10,227,290"
yTSLA Finance,"$523,203","1,682"
NIX,"$524,639","1,796"
VikkyToken,"$520,887","1,140"
Tap,"$529,518","3,786"
eosDAC,"$532,758","1,529"
VNX,"$529,517","1,169"
xSigma,"$509,537","2,650"
TurtleNetwork,"$536,994",922
CoinFi,"$514,877","2,546"
Step Finance,"$539,657","18,978"
SnowSwap,"$536,277","6,517"
The Corgi of PolkaBridge,"$566,997","8,054"
BUZZCoin,"$549,068","1,936"
Oikos,"$553,233","1,897"
Coinsbit Token,"$533,992","4,718"
Pepemon Pepeballs,"$551,300","1,160"
DomRaider,"$555,492","2,355"
iDealCash,"$557,245",732
Starbase,"$560,758","7,901"
Fera,"$561,896","1,106"
LocalCoinSwap,"$567,361","1,483"
8X8 PROTOCOL,"$562,137","1,455"
Sharder,"$550,521","3,557"
U Network,"$566,798","2,768"
4THPILLAR TECHNOLOGIES,"$565,362","1,597"
Ixcoin,"$537,715",637
Actinium,"$571,153","1,444"
Parachute,"$518,360","3,481"
Space Cow Boy,"$574,754","6,911"
Vodra,"$575,570","1,975,749"
Relite Finance,"$578,207","2,109"
MIB Coin,"$579,713","1,333"
DexKit,"$577,129","4,568"
Sint-Truidense Voetbalvereniging Fan Token,"$582,526",736
NFTify,"$579,542","253,306"
DACSEE,"$580,000",633
Ravencoin Classic,"$584,197","4,217"
OptionRoom,"$590,406","8,664"
SophiaTX,"$586,795",968
Natus Vincere Fan Token,"$588,392","1,092"
VNT Chain,"$573,713","3,069"
CannabisCoin,"$592,857","3,142"
Argon,"$598,016","10,408"
Professional Fighters League Fan Token,"$592,740","1,239"
CryptoFlow,"$591,975","1,080"
TotemFi,"$608,035","2,827"
SonoCoin,"$578,615","1,730"
Naka Bodhi Token,"$601,046",749
Mettalex,"$605,137","184,401"
Kalata,"$608,383","260,054"
Beyond Protocol,"$599,313","4,343"
Katalyo,"$610,468","1,534"
Heart Number,"$612,473","1,436"
PRCY Coin,"$611,076","23,060"
Benchmark Protocol,"$615,031","9,002"
Digital Reserve Currency,"$615,472","4,576"
YEE,"$620,233","1,466"
İstanbul Başakşehir Fan Token,"$598,424",969
Bob's Repair,"$626,360",923
Digital Fitness,"$621,224","1,548"
VIG,"$620,862",853
Berry Data,"$625,421","133,128"
REVIVAL,"$631,768","7,058"
1Million Token,"$630,216","2,203"
Delphy,"$638,010","1,358"
Fabwelt,"$633,828","15,097"
Ubex,"$634,568","5,131"
Hydro,"$634,597","9,032"
PayPie,"$632,504","1,350"
Azbit,"$638,291","3,482"
Plair,"$637,312","6,113"
DogeCash,"$625,986","4,080"
Battle Hero,"$638,711","4,760,229"
GeoDB,"$640,637","997,165"
Minereum,"$642,136","7,101"
Debitum,"$644,719","1,173"
Golos Blockchain,"$608,737",584
YFDAI.FINANCE,"$647,443","9,351"
Orient Walt,"$658,228",946
ByteNext,"$656,637","242,952"
8Bit Doge,"$664,751","2,366"
aiRight,"$650,154","1,534"
VAULT,"$663,175","1,235"
Mochi Market,"$664,127","4,816"
Phore,"$662,708","1,838"
Beacon,"$662,492","1,180"
MonetaryUnit,"$663,761","1,151"
QChi,"$688,059",421
Decentralized Vulnerability Platform,"$667,161","1,877"
Aitra,"$676,782",622
Omnitude,"$675,870","1,810"
OKCash,"$680,061","1,780"
BitScreener Token,"$679,808",551
Nuco.cloud,"$684,402",755
Manna,"$685,317","1,613"
Blockchain Cuties Universe Governance,"$688,213","4,273"
Lendefi,"$648,343","4,432"
DATA,"$690,374","7,399"
Etherland,"$694,807","5,032"
X8X Token,"$688,622",547
Cheems,"$698,819","5,660"
0xcert,"$691,938","2,758"
pEOS,"$702,020","1,008"
MoonTrust,"$657,502","6,366"
Warp Finance,"$698,974","3,269"
Tolar,"$702,819","1,746"
PieDAO DEFI++,"$704,189",727
Insured Finance,"$708,665","3,803"
Hashgard,"$711,914","5,315"
Green Satoshi Token,"$712,506","4,551"
Corra.Finance,"$713,452","121,097"
2key.network,"$716,596","1,677"
HempCoin,"$711,959","3,278"
ChatCoin,"$720,613","2,461"
Everex,"$732,118","6,506"
Zero,"$726,210","3,558"
Scala,"$728,234","4,702"
MyWish,"$731,480","1,219"
Kangal,"$747,479","8,005"
Forest Knight,"$732,283","660,407"
Lightstreams,"$733,925",855
Aluna.Social,"$740,912","3,453"
PHI Token,"$740,500",570
Scry.info,"$733,985","1,242"
OLXA,"$744,800",729
Substratum,"$758,056","3,353"
Curio Governance,"$755,193",550
DAV Coin,"$747,647","2,385"
Genesis Shards,"$705,946","5,214"
Bezant,"$761,907","1,811"
Multiplier,"$759,212","3,143"
GameCredits,"$16,046,984","13,975"
ASTA,"$16,066,914","2,099"
Peercoin,"$15,982,851","6,512"
adbank,"$749,187","3,741"
Vertcoin,"$16,126,402","11,568"
Bitball Treasure,"$16,114,885","3,430"
PornRocket,"$16,664,648","61,327"
Crust Network,"$16,471,006","148,261"
IQeon,"$16,508,482","1,952"
BENQI,"$16,167,084","42,696"
GamerCoin,"$15,979,349","8,496,190"
GAMEE,"$17,096,740","42,132"
VIMworld,"$17,145,007","5,347"
Nash,"$17,402,145","5,478"
Dovu,"$17,303,239","6,325"
BitKan,"$17,596,682","3,737"
Oxygen,"$17,334,463","23,273"
PIVX,"$17,744,189","15,957"
Opulous,"$17,837,451","30,729"
Global Coin Research,"$17,766,747",630
BEPRO Network,"$17,939,837","39,147"
AppCoins,"$767,335","6,291"
Stake DAO,"$766,448","3,034"
Hamster,"$17,509,905","59,515"
Crown,"$771,528","2,902"
Niftify,"$779,528",997
Citadel.one,"$773,185","1,502"
Kcash,"$771,085","1,321"
BitTube,"$775,541","2,646"
TokenPay,"$778,882","2,189"
FC Barcelona Fan Token,"$18,060,045","18,134"
FOAM,"$18,011,016","5,417"
Dora Factory,"$18,114,513","8,361"
EPIK Prime,"$18,297,143","33,780"
Populous,"$17,719,982","12,121"
Particl,"$18,512,304","3,076"
Pendle,"$18,467,176","5,091"
Zigcoin,"$18,470,237","11,821"
Step Hero,"$692,974","3,823,366"
Rubic,"$18,730,632","24,767"
ZClassic,"$779,676","2,238"
Alpha Token,"$781,448","1,545"
Islander,"$785,701","4,992"
PlayFuel,"$793,751","2,320"
CoTrader,"$776,790","3,897"
Streamity,"$781,716","1,587"
Atlas Protocol,"$789,665","7,974"
Lobstex,"$787,567",693
Karbo,"$794,009",905
Jade Currency,"$806,153","11,964"
Polyient Games Governance Token,"$830,400","2,540"
BZEdge,"$805,558","1,347"
Terracoin,"$800,090","1,295"
Gravity Finance,"$812,234","1,241"
XMax,"$881,017","4,056"
Flixxo,"$812,173","1,355"
Aryacoin,"$815,965","2,008"
Scorum Coins,"$816,659",887
Litex,"$799,462","1,471"
Rublix,"$815,612","1,230"
ShipChain,"$822,613","2,048"
LootBox.io,"$819,129","6,748"
VIDT Datalink,"$18,751,322","27,884"
Playcent,"$825,456","4,778"
Nexus,"$18,838,518","11,566"
Vesper,"$18,788,826","11,862"
Stronghold Token,"$19,126,446","5,796"
Wing Finance,"$18,928,545","12,285"
Observer,"$18,704,202","2,463"
TEMCO,"$19,049,400","2,502"
AirSwap,"$19,539,530","18,374"
O3 Swap,"$19,139,812","221,467"
e-Money,"$19,692,885","6,560"
StakedZEN,"$834,308",402
PERL.eco,"$19,897,047","18,542"
Xeno Token,"$19,987,999","1,922"
ADAMANT Messenger,"$847,687","1,086"
LikeCoin,"$19,805,467","11,618"
1irstcoin,"$841,278","2,077"
Polinate,"$850,252","3,624"
Dragon Kart,"$830,945","2,750,360"
Endor Protocol,"$850,257","3,276"
PANTHEON X,"$854,595","1,222"
ASPO World,"$856,106","10,504,307"
ACA Token,"$853,699","4,095"
Bholdus,"$862,338","8,107"
SIMP Token,"$854,105","19,646"
CryptoTycoon,"$866,091","50,077"
King DAG,"$20,005,261","1,920"
LBRY Credits,"$19,970,520","15,309"
Auto,"$19,934,688","23,304"
Smart MFG,"$20,005,258","3,075"
Gifto,"$20,058,891","20,230"
PAC Protocol,"$20,064,400","17,829"
InsurAce,"$20,081,906","10,341"
Non-Fungible Yearn,"$868,742","4,523"
DeHub,"$20,224,119","31,265"
WeOwn,"$869,768","1,803"
Genopets,"$20,120,191","24,128"
CryptoSoul,"$854,201","3,998"
DFSocial Gaming,"$884,764","2,673"
UCA Coin,"$895,207","1,590"
Myriad,"$890,941","2,601"
Phoenixcoin,"$891,289","1,593"
Nerve Finance,"$895,672","12,102"
PlanetWatch,"$20,307,616","11,663"
FC Porto Fan Token,"$20,456,292","7,134"
GMCoin,"$20,466,020","2,742"
DxChain Token,"$20,574,156","9,031"
PAID Network,"$20,511,339","29,851"
Shiryo,"$20,640,235","27,823"
Era Swap,"$20,717,765","1,465"
Cream Finance,"$20,849,734","19,576"
ChainGuardians,"$20,880,460","55,903"
Sao Paulo FC Fan Token,"$909,083",454
Veil,"$895,083","1,847"
Moneytoken,"$897,538","3,461"
Peanut,"$903,470","367,240"
Göztepe S.K. Fan Token,"$891,454",922
Bitcoin Plus,"$847,782","3,161"
Signature Chain,"$914,793","2,723"
Bitcoin Atom,"$912,187","1,804"
Spaceswap MILK2,"$905,688","7,364"
PIXEL,"$921,882","2,929"
AmonD,"$925,069",671
Alfa Romeo Racing ORLEN Fan Token,"$922,002",710
Young Boys Fan Token,"$927,142","1,247"
KeyFi,"$931,259","3,526"
FlypMe,"$938,328",507
DePay,"$941,618","1,463"
Venus BCH,"$936,449",443
Spectre.ai Utility Token,"$925,193",532
Tapmydata,"$950,869","1,967"
MurAll,"$956,086","91,519"
Samsunspor Fan Token,"$963,543",303
ADA BOY,"$955,038","32,371"
Unicly Hashmasks Collection,"$953,188",609
Wolf Safe Poor People,"$955,868","324,780"
HashBX,"$969,048","1,144"
Lead Wallet,"$920,907","13,964"
Carbon,"$20,947,767","7,381"
Sentivate,"$20,889,688","9,726"
Marlin,"$21,026,356","48,507"
Everest,"$20,902,404","10,703"
ELYSIA,"$21,322,810","3,385"
Unisocks,"$21,326,274","3,847"
ReddCoin,"$21,600,563","23,030"
Reflexer Ungovernance Token,"$21,324,252","2,974"
ShareToken,"$21,585,918","29,979"
DeXe,"$21,617,762","20,164"
VITE,"$21,635,258","21,769"
BitForex Token,"$21,719,986","4,090"
Dragonchain,"$21,824,641","13,302"
GET Protocol,"$21,596,271","9,170"
Nimiq,"$21,806,721","21,604"
Talken,"$21,788,542","1,132"
Dracula Token,"$977,054","1,624"
Primas,"$984,459","1,361"
Unification,"$979,338","1,693"
SynchroBitcoin,"$986,407","1,037"
BLink,"$988,260","6,413"
STEM CELL COIN,"$987,727","1,740"
Apron Network,"$990,383","3,447"
Ariva,"$22,164,867","722,937"
Epic Cash,"$21,961,324","3,101"
Hiblocks,"$22,283,183","2,370"
Drep [new],"$22,453,370","9,276"
BUX Token,"$22,319,009","3,766"
ZEON,"$22,522,571","9,973"
Quantum Resistant Ledger,"$21,298,492","4,511"
Dego Finance,"$22,684,221","31,433"
S.S. Lazio Fan Token,"$22,681,009","10,940"
Oxen,"$22,725,214","9,539"
Throne,"$22,873,520","5,684,319"
QASH,"$22,926,651","3,505"
LGCY Network,"$22,794,643","10,218"
Fractal,"$988,774","11,963"
Bitswift,"$997,258",604
MobileGo,"$994,538","2,173"
FintruX Network,"$1,005,256","6,101"
I/O Coin,"$999,751","1,366"
Royale Finance,"$994,175","15,890"
Wings,"$1,003,832","2,492"
MeDIA eYe NFT Portal,"$1,005,144","8,084"
NANJCOIN,"$1,020,405","2,196"
Dynamix,"$968,846","26,212"
DOS Network,"$1,025,453","9,133"
ForTube,"$23,063,202","19,336"
Avaxtars Token,"$1,024,408","6,651"
PolkaFoundry,"$22,888,033","82,029"
Unifi Protocol DAO,"$22,930,055","22,447"
Student Coin,"$23,442,149","35,789"
GoChain,"$23,026,509","14,490"
DXdao,"$22,830,985","1,835"
The Midas Touch Gold,"$23,128,048","3,579"
DEXTools,"$23,488,735","10,432"
Golff,"$1,031,125","1,640"
GYEN,"$23,610,341","9,080"
Hot Cross,"$23,623,055","969,017"
Dock,"$23,625,389","31,615"
pNetwork,"$23,931,461","21,031"
Rainicorn,"$24,149,433","7,152"
Electric Vehicle Zone,"$24,508,530","2,443"
ZKSwap,"$24,262,273","1,919,674"
KARMA,"$24,499,554","5,980"
Burger Swap,"$24,422,641","23,937"
POA Network,"$24,730,392","7,850"
Edgeware,"$24,707,932","17,299"
Bounce Finance Governance Token,"$24,891,099","16,559"
Ternoa,"$24,998,834","15,407"
Poseidon Network,"$22,419,557","3,408"
Counterparty,"$24,964,637","1,619"
Hegic,"$25,311,783","15,170"
Kryll,"$25,274,260","8,877"
SIDUS HEROES,"$26,257,376","60,848"
HollyGold,"$783,619",852
SORA,"$25,588,204","22,468"
Soda Coin,"$25,654,698","1,726"
CONUN,"$23,809,851","1,773"
Florin,"$26,437,334","1,996"
REVV,"$26,182,625","77,972"
Locus Chain,"$25,293,502",601
Stratos,"$27,880,337","15,800"
Permission Coin,"$26,674,934","117,639"
MultiVAC,"$26,852,416","52,782"
Impossible Finance Launchpad,"$27,144,166","17,005"
EFFORCE,"$26,978,085","12,168"
SingularityDAO,"$27,434,237","22,134"
Bankera,"$27,471,642","6,900"
StackOs,"$28,215,900","9,827"
ApolloX,"$27,496,528","6,246"
WaykiChain,"$27,604,035","3,882"
TABOO TOKEN,"$28,195,876","76,006"
Offshift,"$27,651,091","9,669"
AhaToken,"$28,135,110","1,652"
AMO Coin,"$28,034,902","3,816"
Pangolin,"$24,895,995","29,673"
AnimalGo,"$28,602,694","2,036"
Gods Unchained,"$26,621,994","50,950"
Newscrypto,"$28,091,420","18,889"
DeFi Land,"$28,307,716","17,136"
USDK,"$28,614,174",981
BTSE,"$28,877,308","1,228"
Civilization,"$28,938,348","7,431"
New BitShares,"$28,917,870","11,498"
Metronome,"$29,294,873","2,982"
Polkadex,"$29,323,211","35,264"
BASIC,"$29,607,909","4,250"
SUKU,"$29,217,431","1,464,262"
Fuse Network,"$26,433,203","21,267"
Revolution Populi,"$29,150,066","7,801"
Reserve,"$28,876,075","3,728"
SOLVE,"$29,508,180","15,626"
Mithril,"$28,378,168","28,000"
Hoge Finance,"$29,699,507","52,733"
Hermez Network,"$29,662,127","4,737"
GNY,"$30,007,401","3,865"
HOPR,"$30,138,579","10,552"
Aragon Court,"$30,150,147","2,179"
Karura,"$30,085,604","31,113"
Quiztok,"$30,323,430","1,856"
MandoX,"$30,239,003","6,398"
BTU Protocol,"$30,267,250","2,116"
dForce,"$30,680,667","7,484"
BOSAGORA,"$30,706,635","13,634"
MileVerse,"$28,996,174","1,683"
FirmaChain,"$30,821,779","1,870"
Glitch,"$30,838,971","23,208"
MAPS,"$30,986,942","12,902"
Vivid Labs,"$31,412,229","5,452"
Hacken Token,"$31,344,630","104,550"
Frontier,"$31,414,059","38,652"
Aurox,"$29,936,235","178,370"
RAI Finance,"$31,729,421",239
v.systems,"$30,011,005","6,921"
ZIMBOCASH,"$31,548,932","1,813"
Manchester City Fan Token,"$31,511,483","11,976"
Beam,"$32,309,755","29,228"
MAP Protocol,"$31,502,797","22,480"
PowerPool,"$31,962,294","17,845"
Venus USDT,"$32,082,438","1,494"
Bytecoin,"$29,727,906","28,649"
ReapChain,"$32,098,170","1,557"
Bitrue Coin,"$32,266,522","9,851"
Selfkey,"$32,374,061","31,612"
Waltonchain,"$32,243,163","24,104"
Super Zero Protocol,"$31,005,993","4,668"
BabySwap,"$32,465,465","920,966"
Invictus Hyperion Fund,"$31,753,927","1,468"
SpiritSwap,"$32,634,456","16,051"
ERC20,"$32,714,220","14,998"
TerraKRW,"$31,965,618","4,762"
Color Platform,"$247,156",794
Crypto Kombat,"$122,745","1,223"
MANTRA DAO,"$33,193,093","25,397"
Cryptopolis,"$447,914","1,198,576"
MemeCoin Factory,"$122,080","4,963"
Po.et,"$217,640","3,399"
aWSB,"$165,990",508
Pacoca,"$5,843,781","5,090"
Namecoin,"$31,925,477","3,529"
StarTerra,"$26,604,482","17,943"
Ultiledger,"$33,565,654","2,067"
Celeum,"$2,937",769
Quantstamp,"$32,741,533","26,874"
Dinoland,- -,"6,597"
The Killbox,- -,"5,114"
xSUSHI,- -,"1,654"
Jade Protocol,"$23,055,297","17,635"
KINE,- -,"2,858"
Penguin Finance,"$3,345,495","6,725"
TheBoringToken,- -,571
Yinbi,"$38,479",319
Eco DeFi,"$7,640,489",316
Defrost Finance,"$29,190,175",115
Project Quantum,- -,"29,034"
Multichain,"$233,494,131","3,895"
Tune.FM,"$324,308","6,460"
Launchpool,- -,"10,417"
TopChain,- -,580
Kasta,"$41,977,707","29,857"
Bit Hotel,"$818,861","13,593"
X,"$6,018,826",685
PIBBLE,- -,"4,065"
Evanesco Network,- -,"1,039,528"
Keys Token,"$49,584,721","2,199"
Wrapped OKT,- -,131
DOEX,"$3,882,666","2,350"
Crypto Realms War,- -,218
WadzPay Token,"$8,036,684","4,029"
Lux Bio Cell,- -,840
ParagonsDAO,"$21,217,016",275
MeconCash,- -,448
EVRYNET,"$5,012,902","1,010,430"
Crafting Finance,"$1,579,919",379
Kiba Inu,- -,"14,397"
UNITED EMIRATE DECENTRALIZED COIN.,"$737,941","36,472"
BattleVerse,"$463,533","7,984"
Atlas Cloud,- -,"3,184"
Metaverse Index,- -,"23,768"
Wolf Game Wool,- -,"3,111"
Shiba Interstellar,"$781,923","7,173"
Graviton Zero,"$662,209","4,354"
Kollect,"$1,906,290","5,060"
Davis Cup Fan Token,"$1,114,055",258
Combo,- -,"2,237"
Apricot Finance,- -,"1,514"
PicaArtMoney,- -,971
Alethea Artificial Liquid Intelligence Token,"$233,414",681
IOI Token,"$3,904,793","15,057"
Aeternity,"$32,333,970","11,550"
Restore Truth Token,- -,209
Monopoly Millionaire Game,- -,538
Latamcash,- -,"3,177"
botXcoin,"$606,141,971","3,218"
PROXI,- -,"1,293"
League of Ancients,"$3,239,650","10,105"
TribeOne,"$380,200","20,965"
ImpactXP,- -,"22,085"
ForthBox,- -,"4,221"
Revault Network,"$2,492,378","15,591"
ExchangeCoin,- -,714
Affyn,- -,"30,347"
